 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.6900  21.0000   0.2553   3.7838  0.33126E+02  0.33125E+02  0.13394E-02  0.37537E+02  0.40267E-02  0.72704E+00  0.36806E+02  0.10014E+01
   10.5890   2.7000  21.0000   0.2565   3.7979  0.32973E+02  0.32971E+02  0.13458E-02  0.37296E+02  0.37991E-02  0.71134E+00  0.36581E+02  0.10015E+01
   10.5890   2.7100  21.0000   0.2578   3.8120  0.32815E+02  0.32813E+02  0.13523E-02  0.37055E+02  0.35835E-02  0.69600E+00  0.36356E+02  0.10015E+01
   10.5890   2.7200  21.0000   0.2591   3.8260  0.32657E+02  0.32656E+02  0.13588E-02  0.36817E+02  0.33793E-02  0.68071E+00  0.36133E+02  0.10015E+01
   10.5890   2.7300  21.0000   0.2604   3.8401  0.32500E+02  0.32499E+02  0.13654E-02  0.36582E+02  0.31861E-02  0.66607E+00  0.35913E+02  0.10015E+01
   10.5890   2.7400  21.0000   0.2617   3.8542  0.32344E+02  0.32343E+02  0.13721E-02  0.36346E+02  0.30033E-02  0.65175E+00  0.35692E+02  0.10015E+01
   10.5890   2.7500  21.0000   0.2630   3.8682  0.32189E+02  0.32187E+02  0.13789E-02  0.36113E+02  0.28303E-02  0.63776E+00  0.35472E+02  0.10015E+01
   10.5890   2.7600  21.0000   0.2643   3.8823  0.32033E+02  0.32032E+02  0.13857E-02  0.35881E+02  0.26668E-02  0.62407E+00  0.35255E+02  0.10015E+01
   10.5890   2.7700  21.0000   0.2656   3.8964  0.31879E+02  0.31877E+02  0.13926E-02  0.35651E+02  0.25122E-02  0.61069E+00  0.35038E+02  0.10015E+01
   10.5890   2.7800  21.0000   0.2669   3.9104  0.31725E+02  0.31723E+02  0.13995E-02  0.35421E+02  0.23661E-02  0.59760E+00  0.34821E+02  0.10015E+01
   10.5890   2.7900  21.0000   0.2682   3.9245  0.31571E+02  0.31570E+02  0.14065E-02  0.35193E+02  0.22280E-02  0.58481E+00  0.34606E+02  0.10015E+01
   10.5890   2.8000  21.0000   0.2695   3.9386  0.31419E+02  0.31417E+02  0.14135E-02  0.34966E+02  0.20976E-02  0.57261E+00  0.34391E+02  0.10015E+01
   10.5890   2.8100  21.0000   0.2708   3.9526  0.31266E+02  0.31265E+02  0.14207E-02  0.34742E+02  0.19745E-02  0.56100E+00  0.34179E+02  0.10015E+01
   10.5890   2.8200  21.0000   0.2721   3.9667  0.31114E+02  0.31113E+02  0.14279E-02  0.34520E+02  0.18584E-02  0.54837E+00  0.33969E+02  0.10015E+01
   10.5890   2.8300  21.0000   0.2734   3.9808  0.30963E+02  0.30962E+02  0.14351E-02  0.34298E+02  0.17488E-02  0.53609E+00  0.33760E+02  0.10015E+01
   10.5890   2.8400  21.0000   0.2747   3.9948  0.30812E+02  0.30811E+02  0.14425E-02  0.34078E+02  0.16454E-02  0.52440E+00  0.33552E+02  0.10015E+01
   10.5890   2.8500  21.0000   0.2760   4.0089  0.30662E+02  0.30661E+02  0.14499E-02  0.33858E+02  0.15480E-02  0.51312E+00  0.33343E+02  0.10015E+01
   10.5890   2.8600  21.0000   0.2774   4.0230  0.30512E+02  0.30511E+02  0.14573E-02  0.33640E+02  0.14561E-02  0.50218E+00  0.33137E+02  0.10015E+01
   10.5890   2.8700  21.0000   0.2787   4.0370  0.30363E+02  0.30362E+02  0.14649E-02  0.33425E+02  0.13696E-02  0.49148E+00  0.32932E+02  0.10015E+01
   10.5890   2.8800  21.0000   0.2800   4.0511  0.30214E+02  0.30213E+02  0.14725E-02  0.33210E+02  0.12881E-02  0.48102E+00  0.32728E+02  0.10015E+01
   10.5890   2.8900  21.0000   0.2814   4.0652  0.30066E+02  0.30065E+02  0.14802E-02  0.32993E+02  0.12115E-02  0.47078E+00  0.32521E+02  0.10015E+01
   10.5890   2.9000  21.0000   0.2827   4.0792  0.29914E+02  0.29912E+02  0.14878E-02  0.32776E+02  0.11393E-02  0.46078E+00  0.32314E+02  0.10016E+01
